"Disease"	"Lipid"	"Lipid_pubchem_cid"	"Citations"	"p-value"	"FDR"
"Hyperinsulinism"	"Palmitic acid"	985	"11334421, 11350782, 11723064, 12031970, 12746213, 16868746, 17505151, 18079266, 18336063, 18535477, 18678612, 18948971, 19066313, 19073774, 19401423, 19479313, 19875622, 19889804, 20685204, 20693347, 20706589, 22094332, 22616837, 23639187, 23820622, 24041487, 25503900, 26314570, 27455563"	1.17804377472686e-15	2.32143989961973e-15
"Lipid Metabolism, Inborn Errors"	"Palmitic acid"	985	"1770782, 2109149, 3386830, 7785942, 8057294, 9498103, 9702916, 10217622, 10472534, 10709659, 11162577, 12385891, 12621125, 14320689, 14320690, 15902556, 16115821, 17825594, 20195903, 20490924, 21685264"	5.11722100516561e-15	1.00102846754902e-14
"Glucose Intolerance"	"Palmitic acid"	985	"11181530, 11270674, 12108518, 18559658, 18719073, 18780775, 19342603, 19826167, 19875548, 20035285, 20150285, 20526369, 20660065, 20834068, 20962926, 21088116, 21940780, 21949000, 22355328, 22919063, 22923652, 22948222, 23069627, 24549372, 26985905, 27033451, 28933767, 30362548"	3.02532165250826e-14	5.85907419640911e-14
"Myocardial Reperfusion Injury"	"Palmitic acid"	985	"1433313, 1490250, 1913718, 8443876, 9803403, 11269669, 12813998, 12956404, 15105170, 15284219, 15615844, 15894572, 16115587, 16155108, 16444597, 17202401, 17496214, 18266096, 18408129, 18456722, 19480681, 20053658, 20154256, 20724127, 20729402, 21270261, 21835931, 21887274, 21926105, 22347376, 22490613, 22514273"	2.36970211614861e-12	4.47435667258846e-12
"Cardiomegaly"	"Palmitic acid"	985	"1533101, 2937927, 7753039, 8067430, 8203607, 9139943, 10698964, 10862787, 11483635, 15840766, 16509993, 17404155, 17906100, 18641278, 18722549, 18952713, 19213957, 19376807, 19625611, 20075336, 22034436, 22982985, 23069627, 23859766, 24993069, 25595459, 25748450, 27019072, 27346292, 28825205"	4.89881156012506e-12	9.20140808714487e-12
"Diabetes Mellitus"	"Palmitic acid"	985	"2141842, 3743922, 3958107, 6860306, 7335561, 8024729, 9032096, 9482914, 10331406, 10778879, 11052966, 11832351, 12150711, 12489982, 12626325, 13958697, 14060798, 14089858, 14089859, 14106510, 14172874, 14179113, 14213339, 14223837, 14254823, 14325504, 14749282, 15632103, 16277124, 17062897, 17696958, 18073214, 18599524, 18718999, 18771663, 19166731, 19609006, 19757063, 19875615, 19875619, 20093159, 20354806, 20470935, 20526369, 20565855, 20876715, 20974553, 21107520, 21300801, 21311214, 21347624, 21631939, 21799917, 21859708, 21949000, 22065581, 22194845, 22226877, 22257883, 22315313, 22492868, 22619360, 22634071, 22815481, 25157818, 25350564, 25787996, 27139506, 28007782, 29546476, 30253137, 30652075, 30909920"	9.06547879080812e-12	1.69528367000884e-11
"Body Weight"	"Palmitic acid"	985	"1451427, 1487962, 1506379, 2050506, 2141842, 2690646, 2845927, 3093796, 3339477, 3414572, 3707606, 3760192, 3840186, 3991425, 4070130, 6480960, 6514667, 6654321, 6868654, 7046477, 7137365, 7320503, 7869857, 8067430, 8736816, 8793419, 9139943, 9150243, 9489745, 9518540, 9745111, 9857071, 10749714, 11179038, 11181530, 11271857, 11283375, 11334421, 11334555, 11504446, 11595653, 11804876, 11928954, 12145222, 12540618, 12778583, 12799315, 14066216, 14066704, 14207734, 14208965, 14231277, 14263050, 14327266, 14335333, 14625204, 14641960, 14669254, 15140757, 15236608, 15352999, 15715465, 15719408, 15760270, 15813905, 15916673, 16427803, 16441914, 16443671, 16542058, 16684856, 16753249, 16914602, 17093947, 17132823, 17164440, 17287467, 17478729, 17639306, 17707982, 17761767, 17906635, 17995707, 17998422, 18175746, 18253466, 18329778, 18394153, 18450963, 18451498, 18458147, 18678612, 18722549, 18780775, 19024856, 19116375, 19608209, 19625694, 19674491, 19687618, 19903354, 20005540, 20071694, 20110567, 20386142, 20416070, 20432713, 20434320, 20522596, 20555312, 20651217, 20660065, 20714328, 20945643, 21161792, 21270261, 21275906, 21330637, 21569358, 21586170, 21589859, 21617185, 21649916, 21653893, 21679418, 21695273, 21718771, 21887274, 21915347, 21980491, 21990309, 22016761, 22140436, 22184447, 22231784, 22253759, 22363635, 22521527, 22586466, 22629445, 22649491, 22658902, 22679004, 22685607, 22685623, 22695520, 22701720, 22730518, 22847132, 22864514, 22905391, 22919063, 23800210, 23859766, 23925409, 24011949, 24342689, 24454989, 25311062, 25727313, 25733475, 25744134, 25976784, 26141258, 26316333, 26410780, 26450512, 27297630, 27783700, 28245463, 28922681, 28928089, 30458883, 30527982, 30879815, 31083413, 31421115"	9.26909226417105e-12	1.73297725260318e-11
"Choline Deficiency"	"Palmitic acid"	985	"3804913, 13470070, 14302120, 14345885, 20159858, 20509914, 21119028, 21488066, 22093454, 24402912, 26201023, 28044208"	2.17403817959981e-11	4.04267599139522e-11
"Neuronal Ceroid-Lipofuscinoses"	"Palmitic acid"	985	"7668349, 8411992, 8971698, 14629778, 15094366, 16368712, 18021406, 21203506, 22902780"	1.53666251470932e-09	2.77490248038071e-09
"Thinness"	"Palmitic acid"	985	"8279528, 11375340, 12067860, 14625204, 16223979, 17264178, 18175746, 18682832, 18931681, 20029376, 20200320, 20490453, 20522596"	1.71445577899325e-09	3.09365427474146e-09
"Carcinoma, Hepatocellular"	"Palmitic acid"	985	"2169202, 2843552, 3005308, 7586583, 7595067, 8573155, 9254070, 9858936, 11011136, 11239819, 11485163, 11993723, 14323945, 14347561, 14563903, 14726639, 15277519, 15298768, 15324484, 15375792, 15450210, 15663230, 16091995, 16515689, 17072951, 17188672, 17615559, 17658692, 17707340, 17906635, 18713797, 18767022, 19052637, 19083476, 19222902, 19502591, 19545746, 20721681, 20925133, 21251271, 21959296, 22221411, 22380754, 22857151, 24863391, 25048947, 25512910, 26316333, 28073184, 28278289, 28347804, 29169220, 30585550, 30794626, 31357761"	8.22655917836582e-09	1.46784146029591e-08
"Respiratory Distress Syndrome, Newborn"	"Palmitic acid"	985	"2187176, 3195851, 3800170, 6552978, 10862126, 10993530, 11208626, 12211475, 12736380, 18625067, 19474458, 21781003, 22790027"	3.92065754102532e-08	6.90659545767705e-08
"Weight Gain"	"Palmitic acid"	985	"2124952, 8538381, 8786940, 9222840, 10360242, 10659963, 11283375, 12401712, 12604972, 12782234, 14596465, 14641960, 14704302, 15379915, 15772384, 16461555, 17760308, 18079266, 18175746, 18475159, 18759970, 19029118, 19519866, 19808018, 20534152, 20547980, 20644648, 20653972, 21247503, 21586170, 22221448, 22586466, 22770993, 24286356, 24549372, 26314570, 26400185, 30208301, 30804206"	4.10391486708501e-08	7.22766882454383e-08
